id;titolo;genere;regista;anno;durata;etaMinima;dataOra;costo
P114;Platoon;Drama;Oliver Stone;1986;120;12;14/11/2027 15:30;7,00
P115;Tengoku to jigoku;Crime;Akira Kurosawa;1963;143;12;14/11/2027 12:30;7,50
P116;Back to the Future Part II;Adventure;Robert Zemeckis;1989;108;0;14/11/2027 10:00;6,50
P117;Papurika;Animation;Satoshi Kon;2006;90;0;13/11/2027 18:30;9,50
P118;Back to the Future Part II;Adventure;Robert Zemeckis;1989;108;0;13/11/2027 16:00;7,50
P119;Platoon;Drama;Oliver Stone;1986;120;12;13/11/2027 13:00;7,00
P120;Platoon;Drama;Oliver Stone;1986;120;12;13/11/2027 10:30;7,50
P121;Blow;Biography;Ted Demme;2001;124;16;12/11/2027 13:30;8,00
P122;Scent of a Woman;Drama;Martin Brest;1992;156;12;12/11/2027 10:00;7,00
P123;Papurika;Animation;Satoshi Kon;2006;90;0;11/11/2027 13:00;8,00
P124;Papurika;Animation;Satoshi Kon;2006;90;0;11/11/2027 10:30;6,50
P125;Close Encounters of the Third Kind;Drama;Steven Spielberg;1977;138;0;10/11/2027 10:30;8,00
P126;The Long Goodbye;Comedy;Robert Altman;1973;112;12;09/11/2027 13:00;7,00
P127;Sin City;Crime;Frank Miller;2005;124;12;09/11/2027 10:00;7,00
P128;Chinatown;Drama;Roman Polanski;1974;130;12;08/11/2027 13:00;7,00
P129;Papurika;Animation;Satoshi Kon;2006;90;0;08/11/2027 10:30;8,50
P130;Sherlock Jr.;Action;Buster Keaton;1924;45;12;07/11/2027 15:00;6,50
P131;Annie Hall;Comedy;Woody Allen;1977;93;12;07/11/2027 12:30;8,00
P132;Butch Cassidy and the Sundance Kid;Biography;George Roy Hill;1969;110;6;07/11/2027 10:00;7,50
P133;Giant;Drama;George Stevens;1956;201;0;06/11/2027 19:30;9,00
P134;Idi i smotri;Drama;Elem Klimov;1985;142;12;06/11/2027 16:00;8,00
P135;Sin City;Crime;Frank Miller;2005;124;12;06/11/2027 13:00;6,50
P136;Blow;Biography;Ted Demme;2001;124;16;06/11/2027 10:00;7,50
P137;Back to the Future Part II;Adventure;Robert Zemeckis;1989;108;0;05/11/2027 10:30;8,00
P138;Aliens;Action;James Cameron;1986;137;0;04/11/2027 10:30;8,00
P139;Scent of a Woman;Drama;Martin Brest;1992;156;12;03/11/2027 10:30;7,00
P140;Papurika;Animation;Satoshi Kon;2006;90;0;02/11/2027 13:30;6,50
P141;Enemy at the Gates;Drama;Jean-Jacques Annaud;2001;131;12;02/11/2027 10:30;7,00
P142;The Ladykillers;Comedy;Alexander Mackendrick;1955;91;12;01/11/2027 13:00;8,00
P143;4 luni, 3 saptamâni si 2 zile;Drama;Cristian Mungiu;2007;113;12;01/11/2027 10:30;8,50
P144;Sherlock Jr.;Action;Buster Keaton;1924;45;12;31/10/2027 17:00;6,50
P145;Back to the Future Part II;Adventure;Robert Zemeckis;1989;108;0;31/10/2027 14:00;6,50
P146;Scent of a Woman;Drama;Martin Brest;1992;156;12;31/10/2027 10:30;6,50
P147;Monsters, Inc.;Animation;Pete Docter;2001;92;0;30/10/2027 17:00;8,00
P148;Blow;Biography;Ted Demme;2001;124;16;30/10/2027 14:00;8,50
P149;The Best Years of Our Lives;Drama;William Wyler;1946;170;12;30/10/2027 10:30;7,50
P150;Annie Hall;Comedy;Woody Allen;1977;93;12;29/10/2027 10:30;7,50
P151;Tengoku to jigoku;Crime;Akira Kurosawa;1963;143;12;28/10/2027 15:00;7,50
P152;Ivanovo detstvo;Drama;Andrei Tarkovsky;1962;95;12;28/10/2027 12:30;7,50
P153;The Ladykillers;Comedy;Alexander Mackendrick;1955;91;12;28/10/2027 10:00;8,00
P154;Donnie Brasco;Biography;Mike Newell;1997;127;12;27/10/2027 10:30;6,50
P155;Zelig;Comedy;Woody Allen;1983;79;6;26/10/2027 10:00;8,50
P156;No Country for Old Men;Crime;Ethan Coen;2007;122;16;25/10/2027 10:30;6,50
P157;Annie Hall;Comedy;Woody Allen;1977;93;12;24/10/2027 19:30;9,50
P158;The Best Years of Our Lives;Drama;William Wyler;1946;170;12;24/10/2027 16:00;8,00
P159;Butch Cassidy and the Sundance Kid;Biography;George Roy Hill;1969;110;6;24/10/2027 13:00;7,00
P160;Butch Cassidy and the Sundance Kid;Biography;George Roy Hill;1969;110;6;24/10/2027 10:30;8,50
P161;Adaptation.;Comedy;Spike Jonze;2002;115;16;23/10/2027 19:00;8,50
P162;Blow;Biography;Ted Demme;2001;124;16;23/10/2027 16:00;7,00
P163;No Country for Old Men;Crime;Ethan Coen;2007;122;16;23/10/2027 13:00;6,50
P164;Platoon;Drama;Oliver Stone;1986;120;12;23/10/2027 10:00;7,50
P165;Zelig;Comedy;Woody Allen;1983;79;6;22/10/2027 10:00;7,50
P166;Adaptation.;Comedy;Spike Jonze;2002;115;16;21/10/2027 10:00;7,50
P167;Chinatown;Drama;Roman Polanski;1974;130;12;20/10/2027 13:30;8,00
P168;Aliens;Action;James Cameron;1986;137;0;20/10/2027 10:00;6,50
P169;Monsters, Inc.;Animation;Pete Docter;2001;92;0;19/10/2027 13:30;7,00
P170;Aliens;Action;James Cameron;1986;137;0;19/10/2027 10:30;8,50
P171;The Best Years of Our Lives;Drama;William Wyler;1946;170;12;18/10/2027 10:30;8,50
P172;Close Encounters of the Third Kind;Drama;Steven Spielberg;1977;138;0;17/10/2027 16:00;8,00
P173;Back to the Future Part II;Adventure;Robert Zemeckis;1989;108;0;17/10/2027 13:00;6,50
P174;Sunrise: A Song of Two Humans;Drama;F.W. Murnau;1927;94;12;17/10/2027 10:30;7,50
P175;Platoon;Drama;Oliver Stone;1986;120;12;16/10/2027 16:30;7,00
P176;Idi i smotri;Drama;Elem Klimov;1985;142;12;16/10/2027 13:30;6,50
P177;Adaptation.;Comedy;Spike Jonze;2002;115;16;16/10/2027 10:30;6,50
P178;Chinatown;Drama;Roman Polanski;1974;130;12;15/10/2027 13:00;8,00
P179;Close Encounters of the Third Kind;Drama;Steven Spielberg;1977;138;0;15/10/2027 10:00;6,50
P180;Sherlock Jr.;Action;Buster Keaton;1924;45;12;14/10/2027 10:30;6,50
P181;Sunrise: A Song of Two Humans;Drama;F.W. Murnau;1927;94;12;13/10/2027 13:00;7,50
P182;Close Encounters of the Third Kind;Drama;Steven Spielberg;1977;138;0;13/10/2027 10:00;6,50
P183;Sunrise: A Song of Two Humans;Drama;F.W. Murnau;1927;94;12;12/10/2027 13:30;8,00
P184;The Pianist;Biography;Roman Polanski;2002;150;16;12/10/2027 10:30;7,00
P185;The Shop Around the Corner;Comedy;Ernst Lubitsch;1940;99;12;11/10/2027 13:00;7,50
P186;The Lives of Others;Drama;Florian Henckel von Donnersmarck;2006;137;12;11/10/2027 10:00;7,50
P187;Bound by Honor;Crime;Taylor Hackford;1993;180;16;10/10/2027 17:30;7,50
P188;Falling Down;Action;Joel Schumacher;1993;113;16;10/10/2027 15:00;7,00
P189;Sherlock Jr.;Action;Buster Keaton;1924;45;12;10/10/2027 13:30;8,50
P190;Hauru no ugoku shiro;Animation;Hayao Miyazaki;2004;119;0;10/10/2027 10:30;8,00
P191;Platoon;Drama;Oliver Stone;1986;120;12;09/10/2027 16:00;6,50
P192;A Christmas Story;Comedy;Bob Clark;1983;93;0;09/10/2027 13:30;7,50
P193;Amadeus;Biography;Milos Forman;1984;160;16;09/10/2027 10:00;8,00
P194;Back to the Future Part II;Adventure;Robert Zemeckis;1989;108;0;08/10/2027 10:00;6,50
P195;Close Encounters of the Third Kind;Drama;Steven Spielberg;1977;138;0;07/10/2027 10:30;6,50
P196;As Good as It Gets;Comedy;James L. Brooks;1997;139;12;06/10/2027 14:00;7,00
P197;Close Encounters of the Third Kind;Drama;Steven Spielberg;1977;138;0;06/10/2027 10:30;7,00
P198;Black Hawk Down;Drama;Rid Ridley Scott;2001;144;12;05/10/2027 16:30;7,50
P199;Back to the Future Part II;Adventure;Robert Zemeckis;1989;108;0;05/10/2027 14:00;8,50
P200;Black Hawk Down;Drama;Ridley Scott;2001;144;12;05/10/2027 10:30;8,00
P201;Close Encounters of the Third Kind;Drama;Steven Spielberg;1977;138;0;04/10/2027 10:30;6,50
P202;4 luni, 3 saptamâni si 2 zile;Drama;Cristian Mungiu;2007;113;12;03/10/2027 17:00;7,00
P203;Falling Down;Action;Joel Schumacher;1993;113;16;03/10/2027 14:00;7,00
P204;As Good as It Gets;Comedy;James L. Brooks;1997;139;12;03/10/2027 10:30;8,00
P205;Persona;Drama;Ingmar Bergman;1966;85;12;02/10/2027 19:30;9,00
P206;The Lives of Others;Drama;Florian Henckel von Donnersmarck;2006;137;12;02/10/2027 16:30;8,50
P207;Falling Down;Action;Joel Schumacher;1993;113;16;02/10/2027 13:30;8,50
P208;As Good as It Gets;Comedy;James L. Brooks;1997;139;12;02/10/2027 10:30;8,00
P209;Back to the Future Part II;Adventure;Robert Zemeckis;1989;108;0;01/10/2027 10:30;8,00
P210;Falling Down;Action;Joel Schumacher;1993;113;16;30/09/2027 13:30;8,00
P211;The Lives of Others;Drama;Florian Henckel von Donnersmarck;2006;137;12;30/09/2027 10:30;7,00
P212;The Lives of Others;Drama;Florian Henckel von Donnersmarck;2006;137;12;29/09/2027 10:00;8,00
P213;The King of Comedy;Comedy;Martin Scorsese;1982;109;0;28/09/2027 13:00;7,00
P214;Le notti di Cabiria;Drama;Federico Fellini;1957;110;12;28/09/2027 10:00;7,00
P215;Donnie Brasco;Biography;Mike Newell;1997;127;12;27/09/2027 10:00;7,00
P216;The King of Comedy;Comedy;Martin Scorsese;1982;109;0;26/09/2027 19:00;9,50
P217;Boogie Nights;Drama;Paul Thomas Anderson;1997;155;16;26/09/2027 15:30;7,00
P218;Sleepers;Crime;Barry Levinson;1996;147;12;26/09/2027 12:30;6,50
P219;Le notti di Cabiria;Drama;Federico Fellini;1957;110;12;26/09/2027 10:00;7,00
P220;Enemy at the Gates;Drama;Jean-Jacques Annaud;2001;131;12;25/09/2027 15:30;7,50
P221;Happiness;Comedy;Todd Solondz;1998;134;12;25/09/2027 12:30;8,50
P222;Trois couleurs: Blanc;Comedy;Krzysztof Kieslowski;1994;92;0;25/09/2027 10:00;7,00
P223;Jûbê ninpûchô;Animation;Yoshiaki Kawajiri;1993;94;12;24/09/2027 10:30;7,00
P224;Bronenosets Potemkin;Drama;Sergei M. Eisenstein;1925;75;12;23/09/2027 14:30;7,50
P225;Trois couleurs: Blanc;Comedy;Krzysztof Kieslowski;1994;92;0;23/09/2027 12:00;7,00
P226;Bronenosets Potemkin;Drama;Sergei M. Eisenstein;1925;75;12;23/09/2027 10:00;7,50
P227;Toki o kakeru shôjo;Animation;Mamoru Hosoda;2006;98;0;22/09/2027 15:30;8,00
P228;It Happened One Night;Comedy;Frank Capra;1934;105;12;22/09/2027 13:00;6,50
P229;The Shop Around the Corner;Comedy;Ernst Lubitsch;1940;99;12;22/09/2027 10:30;6,50
P230;The Lives of Others;Drama;Florian Henckel von Donnersmarck;2006;137;12;21/09/2027 10:00;6,50
P231;Bronenosets Potemkin;Drama;Sergei M. Eisenstein;1925;75;12;20/09/2027 15:00;8,50
P232;Sunrise: A Song of Two Humans;Drama;F.W. Murnau;1927;94;12;20/09/2027 12:30;8,50
P233;Jûbê ninpûchô;Animation;Yoshiaki Kawajiri;1993;94;12;20/09/2027 10:00;7,50
P234;Jûbê ninpûchô;Animation;Yoshiaki Kawajiri;1993;94;12;19/09/2027 17:00;8,50
P235;Trois couleurs: Blanc;Comedy;Krzysztof Kieslowski;1994;92;0;19/09/2027 14:30;8,00
P236;Bound by Honor;Crime;Taylor Hackford;1993;180;16;19/09/2027 10:30;8,50
P237;The Shawshank Redemption;Drama;Frank Darabont;1994;142;12;18/09/2027 18:30;10,00
P238;Kal Ho Naa Ho;Comedy;Nikkhil Advani;2003;186;0;18/09/2027 14:30;8,50
P239;Persona;Drama;Ingmar Bergman;1966;85;12;18/09/2027 12:30;7,50
P240;Persona;Drama;Ingmar Bergman;1966;85;12;18/09/2027 10:30;8,50
P241;Persona;Drama;Ingmar Bergman;1966;85;12;17/09/2027 15:00;6,50
P242;The King of Comedy;Comedy;Martin Scorsese;1982;109;0;17/09/2027 12:30;7,50
P243;Bronenosets Potemkin;Drama;Sergei M. Eisenstein;1925;75;12;17/09/2027 10:30;8,50
P244;The King of Comedy;Comedy;Martin Scorsese;1982;109;0;16/09/2027 10:00;7,00
P245;The Shawshank Redemption;Drama;Frank Darabont;1994;142;12;15/09/2027 16:30;8,00
P246;Falling Down;Action;Joel Schumacher;1993;113;16;15/09/2027 13:30;7,50
P247;Amadeus;Biography;Milos Forman;1984;160;16;15/09/2027 10:00;8,00
P248;Harry Potter and the Sorcerer's Stone;Adventure;Chris Columbus;2001;152;0;14/09/2027 17:00;7,00
P249;Falling Down;Action;Joel Schumacher;1993;113;16;14/09/2027 14:00;8,50
P250;Kal Ho Naa Ho;Comedy;Nikkhil Advani;2003;186;0;14/09/2027 10:00;8,50
P251;Jeux d'enfants;Comedy;Yann Samuell;2003;93;16;13/09/2027 10:00;8,00
P252;Memento;Mystery;Christopher Nolan;2000;113;12;12/09/2027 16:00;7,50
P253;The Others;Horror;Alejandro Amenábar;2001;101;12;12/09/2027 13:30;7,50
P254;The Shawshank Redemption;Drama;Frank Darabont;1994;142;12;12/09/2027 10:30;8,50
P255;The Pianist;Biography;Roman Polanski;2002;150;16;11/09/2027 16:30;7,50
P256;Barry Lyndon;Adventure;Stanley Kubrick;1975;185;6;11/09/2027 12:30;8,00
P257;Toki o kakeru shôjo;Animation;Mamoru Hosoda;2006;98;0;11/09/2027 10:00;8,50
P258;Falling Down;Action;Joel Schumacher;1993;113;16;10/09/2027 13:00;8,50
P259;All That Jazz;Drama;Bob Fosse;1979;123;12;10/09/2027 10:00;6,50
P260;Jûbê ninpûchô;Animation;Yoshiaki Kawajiri;1993;94;12;09/09/2027 17:30;7,50
P261;Sholay;Action;Ramesh Sippy;1975;204;0;09/09/2027 13:30;8,50
P262;The Treasure of the Sierra Madre;Adventure;John Huston;1948;126;12;09/09/2027 10:30;8,00
P263;Sleepers;Crime;Barry Levinson;1996;147;12;08/09/2027 17:00;8,00
P264;Swades: We, the People;Drama;Ashutosh Gowariker;2004;210;0;08/09/2027 13:00;7,00
P265;Toki o kakeru shôjo;Animation;Mamoru Hosoda;2006;98;0;08/09/2027 10:30;7,00
P266;Toki o kakeru shôjo;Animation;Mamoru Hosoda;2006;98;0;07/09/2027 15:30;6,50
P267;Star Wars: Episode VI - Return of the Jedi;Action;Richard Marquand;1983;131;0;07/09/2027 12:30;8,00
P268;Toki o kakeru shôjo;Animation;Mamoru Hosoda;2006;98;0;07/09/2027 10:00;8,50
P269;All That Jazz;Drama;Bob Fosse;1979;123;12;06/09/2027 13:00;6,50
P270;The Shawshank Redemption;Drama;Frank Darabont;1994;142;12;06/09/2027 10:00;8,50
P271;Philadelphia;Drama;Jonathan Demme;1993;125;12;05/09/2027 21:30;10,00
P272;The Killing Fields;Biography;Roland Joffé;1984;141;12;05/09/2027 18:00;9,50
P273;My Fair Lady;Drama;George Cukor;1964;170;0;05/09/2027 14:30;8,00
P274;Saving Private Ryan;Drama;Steven Spielberg;1998;169;16;05/09/2027 10:30;6,50
P275;The Killing Fields;Biography;Roland Joffé;1984;141;12;04/09/2027 17:00;8,50
P276;Fitzcarraldo;Adventure;Werner Herzog;1982;158;16;04/09/2027 13:30;8,50
P277;All That Jazz;Drama;Bob Fosse;1979;123;12;04/09/2027 10:30;8,00
P278;Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni;Animation;Hideaki Anno;1997;87;12;03/09/2027 16:30;6,50
P279;All That Jazz;Drama;Bob Fosse;1979;123;12;03/09/2027 13:30;6,50
P280;The Illusionist;Drama;Neil Burger;2006;110;0;03/09/2027 10:30;7,00
P281;Sholay;Action;Ramesh Sippy;1975;204;0;02/09/2027 10:30;8,50
P282;The Game;Action;David Fincher;1997;129;12;01/09/2027 10:30;7,50
P283;Kurenai no buta;Animation;Hayao Miyazaki;1992;94;0;31/08/2027 13:00;7,00
P284;Jeux d'enfants;Comedy;Yann Samuell;2003;93;16;31/08/2027 10:30;7,00
P285;The Killing Fields;Biography;Roland Joffé;1984;141;12;30/08/2027 10:30;7,00
P286;Kal Ho Naa Ho;Comedy;Nikkhil Advani;2003;186;0;29/08/2027 20:30;10,00
P287;Fitzcarraldo;Adventure;Werner Herzog;1982;158;16;29/08/2027 17:00;8,50
P288;Le notti di Cabiria;Drama;Federico Fellini;1957;110;12;29/08/2027 14:30;8,00
P289;Sholay;Action;Ramesh Sippy;1975;204;0;29/08/2027 10:00;8,00
P290;My Fair Lady;Drama;George Cukor;1964;170;0;28/08/2027 16:00;8,50
P291;The Illusionist;Drama;Neil Burger;2006;110;0;28/08/2027 13:30;8,50
P292;Le notti di Cabiria;Drama;Federico Fellini;1957;110;12;28/08/2027 10:30;7,50
P293;The Treasure of the Sierra Madre;Adventure;John Huston;1948;126;12;27/08/2027 10:30;7,00
P294;Sen to Chihiro no kamikakushi;Animation;Hayao Miyazaki;2001;125;0;26/08/2027 17:00;7,00
P295;Close Encounters of the Third Kind;Drama;Steven Spielberg;1977;138;0;26/08/2027 14:00;6,50
P296;Saving Private Ryan;Drama;Steven Spielberg;1998;169;16;26/08/2027 10:30;7,50
